選手名,出場数,得点数,初出場,最終出場,ポジション
中西永輔,14,0,1997/9/7,2002/11/20,"MF, DF"
渡辺毅,1,0,1997/8/13,1997/8/13,DF
鈴木秀人,1,0,1997/6/28,1997/6/28,DF
望月重良,15,1,1997/6/15,2001/3/24,MF
森山泰行,1,0,1997/6/15,1997/6/15,FW
伊東輝悦,27,0,1997/6/8,2001/11/7,MF
平野孝,15,4,1997/6/8,2000/2/20,MF
中田英寿,77,11,1997/5/21,2006/6/22,MF
西澤明訓,29,10,1997/5/21,2002/6/18,FW
川口能活,116,0,1997/2/13,2008/11/19,GK
路木龍次,4,0,1996/10/13,1997/8/13,"MF, DF"
酒井直樹,1,0,1996/10/13,1996/10/13,"FW, MF"
服部年宏,44,2,1996/9/11,2003/6/8,"MF, DF"
斉藤俊秀,17,0,1996/8/25,1999/7/2,DF
土橋正樹,1,0,1996/5/26,1996/5/26,MF
秋田豊,44,4,1995/10/24,2003/6/8,DF
鈴木正治,2,0,1995/10/24,1996/2/14,DF
本田泰人,29,1,1995/10/24,1997/10/26,MF
沢田謙太郎,4,0,1995/9/20,1996/2/14,DF
岡野雅行,25,2,1995/9/20,1999/7/5,FW
城彰二,35,7,1995/9/20,2001/3/24,FW
名波浩,67,9,1995/8/6,2001/4/25,MF
林健太郎,2,0,1995/8/6,1995/8/9,MF
野口幸司,1,0,1995/8/6,1995/8/6,FW
下川健一,9,0,1995/6/10,1997/2/9,GK
小島伸幸,4,0,1995/6/6,1996/2/19,GK
相馬直樹,58,4,1995/5/28,1999/9/8,DF
田坂和昭,7,0,1995/5/28,1999/6/29,DF
神田勝夫,1,0,1995/5/28,1995/5/28,"FW, MF, DF"
小村徳男,30,4,1995/5/21,1998/6/26,DF
森島寛晃,64,12,1995/5/21,2002/6/18,"FW, MF"
中村忠,16,0,1995/2/15,1998/2/15,"MF, DF"
藤田俊哉,24,3,1995/2/15,2005/1/29,MF
長谷川祥之,6,0,1995/2/15,1996/5/29,FW
柳本啓成,30,0,1995/1/8,1997/3/27,DF
礒貝洋光,2,0,1995/1/6,1995/1/8,MF
山口素弘,58,4,1995/1/6,1998/6/26,MF
菊池新吉,7,0,1994/9/27,1995/10/28,GK
大嶽直人,1,0,1994/9/27,1994/9/27,DF
名良橋晃,38,0,1994/9/27,2003/6/8,DF
山田隆裕,1,0,1994/9/27,1994/9/27,"FW, MF"
